customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RecordDate
1487-EVPBL,Male,0,No,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),135.98,3342.05,No,2023-01-02
5471-TKPXS,Female,0,No,No,29,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,101.87,2890.96,No,2023-01-02
6985-QOQXT,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,121.69,2613.07,Yes,2023-01-02
7517-MDBGO,Male,0,No,No,28,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),149.66,4315.71,Yes,2023-01-03
1489-MWYOQ,Female,1,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),43.57,896.01,Yes,2023-01-03
4565-SSQWG,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),134.48,1480.15,No,2023-01-03
1138-DJFAT,Male,0,No,No,38,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),141.85,5344.36,Yes,2023-01-03
9981-GIOMZ,Female,0,Yes,No,24,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),108.16,2611.91,No,2023-01-03
1312-DUSLK,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),145.01,5800.85,No,2023-01-03
4312-CBJRQ,Male,0,No,Yes,23,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,107.75,2453.99,No,2023-01-03
2193-LUBJF,Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,52.17,1275.0,No,2023-01-03
6280-KPRHN,Female,0,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,63.6,2153.42,Yes,2023-01-03
8164-AZSGU,Female,1,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),137.77,6894.25,Yes,2023-01-03
6437-CDSSH,Male,0,Yes,Yes,52,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,127.17,6662.59,Yes,2023-01-03
9484-REZEH,Female,0,Yes,No,30,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),124.49,3839.14,No,2023-01-03
5410-NMIKK,Female,0,No,No,47,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),134.48,6460.58,No,2023-01-03
5203-WIHQC,Male,0,No,No,28,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,139.21,3818.54,Yes,2023-01-03
3074-DEFJJ,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,152.51,5464.36,Yes,2023-01-03
5090-SNOXR,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,173.59,4793.27,Yes,2023-01-03
7447-PTOGF,Female,0,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,146.32,3128.45,Yes,2023-01-03
1928-EQFCX,Male,1,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,152.71,7934.86,Yes,2023-01-03
6057-NTCWM,Female,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,165.72,3073.04,Yes,2023-01-03
7009-RXSRC,Male,0,Yes,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.58,199.29,Yes,2023-01-03
6164-VYRJB,Male,0,No,No,26,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,105.86,2782.39,Yes,2023-01-03
9723-BEDHT,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.53,1015.92,Yes,2023-01-03
3416-JLGOX,Female,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),140.18,4868.09,No,2023-01-03
8984-ULCWT,Female,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),135.97,4689.07,No,2023-01-03
8308-GREFE,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),144.52,6024.77,Yes,2023-01-03
7468-VXTQT,Female,1,No,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),159.48,6503.93,Yes,2023-01-03
5209-ENUBW,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,112.86,3211.62,Yes,2023-01-03
3699-SXTCF,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,139.9,3005.93,Yes,2023-01-03
9610-VKNPZ,Male,0,No,Yes,17,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,116.82,1963.29,Yes,2023-01-03
5836-RWKCC,Female,1,Yes,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,177.21,6433.52,No,2023-01-03
7863-DOHWU,Male,1,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,148.88,4349.6,Yes,2023-01-03
5324-QKHWV,Male,1,No,No,31,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,132.42,4200.82,Yes,2023-01-03
8325-EBCLA,Male,1,Yes,Yes,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.82,1736.64,No,2023-01-04
7958-SHSPH,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),122.72,3294.41,Yes,2023-01-04
5807-VUVYU,Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,152.87,447.41,Yes,2023-01-04
5127-YPZSR,Female,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),132.92,5451.49,No,2023-01-04
2951-DYONF,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),61.84,2106.13,Yes,2023-01-04
6506-MVXIO,Female,0,Yes,Yes,23,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.23,2021.72,Yes,2023-01-04
1106-ORBIU,Male,0,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.3,5350.88,Yes,2023-01-04
4027-FLMUS,Male,0,Yes,No,47,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,123.84,5712.17,Yes,2023-01-04
2278-PMMDH,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),139.42,3812.16,No,2023-01-04
8031-FSVSN,Male,1,No,No,42,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,126.69,5385.14,Yes,2023-01-04
3937-VGLIC,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,181.6,6303.47,Yes,2023-01-04
5423-YGJUI,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),51.41,1909.86,Yes,2023-01-04
9653-NTWCC,Female,0,No,No,16,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,113.37,1783.19,Yes,2023-01-04
9500-NOIRU,Male,0,No,Yes,40,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),123.96,4974.11,Yes,2023-01-04
9695-BYTRL,Male,0,Yes,No,35,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,99.89,3517.22,No,2023-01-04
4688-ZHDLD,Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,175.24,5827.89,Yes,2023-01-04
1949-UDXHM,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),156.91,6175.6,No,2023-01-04
3620-YPIGE,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,155.35,4485.45,Yes,2023-01-04
4456-PSYIG,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,42.63,171.42,Yes,2023-01-04
6840-MCAEO,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,112.95,2078.79,Yes,2023-01-04
7184-HVBZL,Female,0,No,No,8,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,136.38,1083.78,Yes,2023-01-04
3683-OJNYQ,Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),152.25,2713.71,Yes,2023-01-04
9843-FFXGC,Female,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),150.23,1041.41,No,2023-01-05
3545-NKQVR,Male,1,Yes,No,22,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.34,2216.05,Yes,2023-01-05
3892-MOPQR,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.81,924.98,Yes,2023-01-05
9277-ZLSFH,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,64.14,1412.13,Yes,2023-01-05
6815-PRNCV,Female,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),161.95,5298.91,Yes,2023-01-05
8840-KAFYU,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,150.92,889.04,Yes,2023-01-05
5443-KKWUT,Male,0,Yes,No,50,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),92.18,4674.11,No,2023-01-05
7407-DNNBG,Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.73,1287.62,Yes,2023-01-05
8315-QAXRT,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,44.86,1510.54,Yes,2023-01-05
5210-AOZSM,Female,1,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,53.54,642.74,Yes,2023-01-05
8069-NJBNF,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,152.92,3263.56,No,2023-01-05
2487-DTHPJ,Female,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),138.54,4349.43,Yes,2023-01-05
5277-IQDSR,Female,0,Yes,No,43,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),137.1,5918.47,No,2023-01-05
7795-TBAQR,Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,121.68,2901.1,Yes,2023-01-05
6418-SOWDV,Male,0,No,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.69,1085.85,No,2023-01-05
8965-KNQDG,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),140.94,5011.91,Yes,2023-01-05
9317-YDGOK,Male,0,Yes,No,46,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,143.88,6425.25,Yes,2023-01-05
8935-CRSAZ,Female,0,No,Yes,43,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,102.22,4450.88,No,2023-01-05
7502-CYLGS,Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),150.28,3997.29,Yes,2023-01-05
7692-PUFXS,Female,0,No,Yes,32,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.24,2756.61,Yes,2023-01-05
4175-EXWWF,Female,1,Yes,No,56,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,137.18,7896.95,No,2023-01-05
5040-FAJQO,Female,0,Yes,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,96.68,3158.32,Yes,2023-01-05
2466-BBNLQ,Female,0,Yes,No,39,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,134.01,5274.16,Yes,2023-01-05
3866-ABMEN,Male,0,No,No,46,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),96.67,4361.48,No,2023-01-05
1863-PZMAO,Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,125.54,1525.01,Yes,2023-01-05
8456-FVZWQ,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,117.99,2178.87,No,2023-01-05
3012-JRATH,Male,1,Yes,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.5,330.56,Yes,2023-01-05
4910-LABTX,Male,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.7,1605.12,Yes,2023-01-05
9666-GSEHD,Male,0,No,Yes,9,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,138.93,1230.91,Yes,2023-01-05
9342-RFHZQ,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,50.04,1282.0,Yes,2023-01-06
6519-CUZDY,Female,0,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,153.56,1236.23,Yes,2023-01-06
3642-WILUH,Male,0,Yes,Yes,20,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.82,1999.73,Yes,2023-01-06
6052-MFDOP,Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),53.67,593.33,No,2023-01-06
3845-YQDHG,Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),121.86,5569.35,No,2023-01-06
6746-CACOC,Male,0,Yes,No,46,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,110.11,5123.42,No,2023-01-06
6107-HLMVS,Male,1,No,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,173.6,7963.22,Yes,2023-01-06
9181-FUPKM,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),60.88,1732.95,Yes,2023-01-06
4792-MCGAH,Female,0,No,Yes,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.17,503.91,Yes,2023-01-06
6567-NYGPX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,168.2,9895.59,No,2023-01-06
8607-ZQDOI,Female,0,No,No,20,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),122.88,2434.66,No,2023-01-06
9094-BBKXN,Female,0,Yes,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.5,278.11,Yes,2023-01-06
7363-UVEZV,Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,160.02,6489.36,Yes,2023-01-06
9955-SLPAU,Female,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,155.55,7573.31,Yes,2023-01-06
1937-USTCE,Female,0,No,Yes,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),125.27,2908.43,Yes,2023-01-06
2611-YSGBV,Female,0,Yes,No,15,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),115.94,1773.86,No,2023-01-06
7848-CIWQE,Female,1,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,34.9,1450.0,No,2023-01-06
2952-GUSRT,Female,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.25,469.48,Yes,2023-01-06
8905-EVROX,Female,0,Yes,No,26,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,136.89,3468.85,Yes,2023-01-06
1147-ZYJXB,Female,0,Yes,No,33,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),89.98,3052.6,Yes,2023-01-06
5592-YTEQC,Male,0,No,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,165.18,7144.37,Yes,2023-01-06
1000-QBSKA,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),109.75,3276.47,Yes,2023-01-06
8272-IHCEE,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,120.75,2148.92,Yes,2023-01-06
5670-ETGMX,Female,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),58.81,993.17,No,2023-01-06
2922-CBYOK,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),47.39,916.77,Yes,2023-01-06
2075-YSTQZ,Female,0,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.5,488.74,Yes,2023-01-06
3965-YDNCQ,Male,0,Yes,Yes,37,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,111.67,4009.02,Yes,2023-01-06
4637-FPQUB,Female,0,Yes,No,27,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,90.92,2442.51,Yes,2023-01-06
9208-VOLTA,Male,0,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,146.01,7423.54,No,2023-01-06
